Theta deg;Theta  rad;r(deg) Vesta;X Vesta;Y Vesta;X trans Vesta;Y trans Vesta;phi* (deg);Ts;Ts en jours ;deltaT_win(s);deltaT_win [JJ HH MM SS];Next window;;;;
150;2.617993878;323572625.2;-305751111.6;176525486.6;-280222113.4;161786312.6;;;;;;;;;;
151;2.635447171;325315066.4;-308785338.8;171162508.2;-284526968.1;157715873.8;;;;;;;;;;
152;2.652900463;327021489.5;-311725506.9;165747392.1;-288742836.9;153527289.7;;;;;;;;;;
153;2.670353756;328689933.5;-314570720.5;160281787.8;-292864875.2;149222107.2;;;;;;;;;;
154;2.687807048;330318442;-317320112.8;154767360;-296888249;144802074.2;;;;;;;;;;
155;2.705260341;331905067.4;-319972846.2;149205788.6;-300808147.2;140269142.7;;;;;;;;;;
156;2.722713633;333447876.4;-322528112.9;143598767.7;-304619792.8;135625469.9;;;;;;;;;;
157;2.740166926;334944954.4;-324985134.3;137948005.2;-308318456.2;130873420;;;;;;;;;;
158;2.757620218;336394411;-327343162.2;132255222.4;-311899466.7;126015564.4;;;;;;;;;;
159;2.775073511;337794385.1;-329601478.1;126522153.4;-315358226.1;121054681.2;;;;;;;;;;
160;2.792526803;339143049.8;-331759394.3;120750544.5;-318690221.3;115993754.5;;;;;;;;;;
161;2.809980096;340438618.2;-333816253.3;114942153.8;-321891037.4;110835972.6;;;;;;;;;;
162;2.827433388;341679348.4;-335771428.6;109098750.6;-324956370.8;105584725.3;;;;;;;;;;
163;2.844886681;342863548.8;-337624324.8;103222114.9;-327882042.4;100243600.3;;;;;;;;;;
164;2.862339973;343989583.5;-339374377.3;97314036.72;-330664010.4;94816379.23;;;;;;;;;;
165;2.879793266;345055877.3;-341021053;91376315.76;-333298383.4;89307032.68;;;;;;;;;;
166;2.897246558;346060921.1;-342563850.5;85410760.68;-335781432.8;83719714.03;;;;;;;;;;
167;2.914699851;347003276.6;-344002299.6;79419188.66;-338109605.1;78058752.93;;;;;;;;;;
168;2.932153143;347881581.1;-345335962.4;73403424.78;-340279533.9;72328647.73;;;;;;;;;;
169;2.949606436;348694552.5;-346564432.4;67365301.51;-342288051.4;66534057.25;;;;;;;;;;
170;2.967059728;349440993.4;-347687335.6;61306658.12;-344132199.5;60679791.7;;;;;;;;;;
171;2.984513021;350119795.3;-348704329.9;55229340.12;-345809239.7;54770802.88;;;;;;;;;;
172;3.001966313;350729943;-349615105.4;49135198.74;-347316663.3;48812173.77;;;;;;;;;;
173;3.019419606;351270517.5;-350419384.8;43026090.29;-348652200.4;42809107.33;;;;;;;;;;
174;3.036872898;351740700;-351116923;36903875.68;-349813827.6;36766914.84;;;;;;;;;;
175;3.054326191;352139774.5;-351707507.7;30770419.8;-350799776.3;30691003.59;;;;;;;;;;
176;3.071779484;352467130.5;-352190958.8;24627590.94;-351608538.3;24586864.13;;;;;;;;;;
177;3.089232776;352722265.5;-352567129.1;18477260.28;-352238871.9;18460057.06;;;;;;;;;;
178;3.106686069;352904786.8;-352835904.1;12321301.28;-352689806.7;12316199.44;;;;;;;;;;
179;3.124139361;353014412.5;-352997201.8;6161589.077;-352960646.6;6160951.004;;;;;;;;;;
180;3.141592654;353050973.2;-353050973.2;4.3254E-08;-353050973.2;4.3254E-08;;;;;;;;;;
181;3.159045946;353014412.5;-352997201.8;-6161589.077;-352960646.6;-6160951.004;;;;;;;;;;
182;3.176499239;352904786.8;-352835904.1;-12321301.28;-352689806.7;-12316199.44;;;;;;;;;;
183;3.193952531;352722265.5;-352567129.1;-18477260.28;-352238871.9;-18460057.06;;;;;;;;;;
184;3.211405824;352467130.5;-352190958.8;-24627590.94;-351608538.3;-24586864.13;;;;;;;;;;
185;3.228859116;352139774.5;-351707507.7;-30770419.8;-350799776.3;-30691003.59;;;;;;;;;;
186;3.246312409;351740700;-351116923;-36903875.68;-349813827.6;-36766914.84;;;;;;;;;;
187;3.263765701;351270517.5;-350419384.8;-43026090.29;-348652200.4;-42809107.33;;;;;;;;;;
188;3.281218994;350729943;-349615105.4;-49135198.74;-347316663.3;-48812173.77;;;;;;;;;;
189;3.298672286;350119795.3;-348704329.9;-55229340.12;-345809239.7;-54770802.88;;;;;;;;;;
190;3.316125579;349440993.4;-347687335.6;-61306658.12;-344132199.5;-60679791.7;;;;;;;;;;
191;3.333578871;348694552.5;-346564432.4;-67365301.51;-342288051.4;-66534057.25;;;;;;;;;;
